=== A_mpich_host : N=16 ranks=128 ===

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
4                      44.28             39.71             50.00          50
8                      44.18             39.63             49.59          50
16                     44.25             39.72             50.00          50
32                     44.14             39.37             49.92          50
64                     44.43             39.83             50.09          50
128                    45.87             40.72             51.84          50
256                    57.69             53.77             62.86          50
512                    83.48             80.83             86.71          50
1024                   83.68             79.58             87.32          50
2048                   84.80             81.41             88.08          50
4096                   92.35             89.36             96.81          50
8192                  100.42             96.90            104.29          50
16384                 116.73            112.76            122.11          50
32768                 137.50            133.11            143.56          50
65536                 162.26            156.14            168.84          50
131072                204.23            196.51            213.00          50
262144                293.59            280.53            309.68          50
524288                466.21            435.51            495.80          50
1048576               893.77            832.13            963.67          50
2097152              1617.18           1449.63           1768.53          50
4194304              3376.11           3123.37           3780.17          50
8388608              6698.28           6275.92           7133.97          50
16777216            10647.75          10358.68          10958.92          50
33554432            33902.08          33226.46          35040.98          50
