=== C_mpich_rccl : N=16 ranks=128 ===

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
4                     100.04             71.14            113.14          50
8                      87.90             60.62            100.84          50
16                     75.23             48.49             87.08          50
32                     75.54             48.28             88.08          50
64                     80.90             51.33             94.56          50
128                   120.51             74.32            139.40          50
256                   122.44             75.02            142.41          50
512                   126.32             77.52            147.16          50
1024                  132.01             81.03            153.92          50
2048                  142.31             88.00            164.95          50
4096                  145.85             94.24            165.54          50
8192                  145.14             93.91            164.86          50
16384                 148.30             96.89            167.57          50
32768                 167.18            161.31            174.93          50
65536                 191.57            184.46            198.66          50
131072                237.78            230.96            245.10          50
262144                324.90            318.59            331.95          50
524288                371.99            365.07            379.11          50
1048576               470.23            460.76            488.00          50
2097152               384.24            366.02            399.57          50
4194304               479.18            452.39            543.68          50
8388608              1074.54            985.83           1172.01          50
16777216             1201.88           1168.08           1233.20          50
33554432             1919.26           1840.54           1979.18          50
67108864             3236.94           3119.26           3328.34          50
134217728            4487.43           4097.95           4908.05          50
268435456            9145.02           8888.67           9880.03          50
536870912           17997.20          17598.51          18383.05          50
1073741824          35794.56          34759.22          36340.10          50
