=== D_cray_gpuaware : N=4 ranks=32 ===

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
4                      13.33             12.82             13.65          50
8                      13.09             12.11             13.96          50
16                     13.10             12.25             14.00          50
32                     12.98             12.17             13.84          50
64                     13.33             12.84             13.85          50
128                    14.03             12.67             15.49          50
256                    27.75             26.62             29.00          50
512                    26.18             25.34             27.53          50
1024                   27.60             26.03             29.60          50
2048                   30.36             28.97             31.60          50
4096                   48.57             47.61             49.54          50
8192                   77.00             76.05             78.16          50
16384                  81.51             80.41             82.68          50
32768                  91.28             90.08             93.03          50
65536                 112.84            111.46            114.12          50
131072                189.17            187.62            190.64          50
262144                198.72            197.13            201.05          50
524288                231.27            229.94            232.46          50
1048576               269.62            268.93            270.65          50
2097152               329.04            327.81            330.11          50
4194304               451.97            450.77            453.08          50
8388608               708.94            706.47            711.47          50
16777216             1417.16           1414.78           1419.39          50
33554432             2840.91           2838.16           2843.35          50
67108864             5705.42           5701.54           5709.64          50
134217728           11505.43          11501.90          11508.71          50
268435456           22996.54          22992.73          22999.40          50
536870912           47347.42          47343.49          47350.46          50
1073741824          93640.62          93636.08          93644.98          50
