=== A_mpich_host : N=4096 ranks=32768 ===

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
4                      93.82             86.43            115.54          50
8                      94.12             83.98            112.55          50
16                     94.90             77.62            106.61          50
32                    159.75             91.18            171.44          50
64                     90.47             76.70            101.73          50
128                    93.36             79.79            107.96          50
256                   123.15            111.88            140.35          50
512                   123.57            110.31            150.14          50
1024                  130.89            113.09            154.76          50
2048                  136.51            123.05            164.75          50
4096                  142.13            122.25            171.21          50
8192                  161.90            145.78            186.81          50
16384                 486.42            246.44           1180.86          50
32768                 485.71            358.64            884.02          50
65536                 710.70            525.21           1044.60          50
131072               3091.08           3039.76           3258.35          50
262144               5071.72           4999.52           5200.62          50
524288               5815.57           5724.77           6044.71          50
1048576              6335.85           6174.78           6505.79          50
2097152              7151.28           6871.42           7389.16          50
4194304              8619.63           8128.19           8975.69          50
8388608              9788.45           9224.14          10352.95          50
16777216            12638.34          12271.96          13317.95          50
33554432            47176.49          46155.43          48665.11          50
