=== D_blk64 sweep : N=256 ranks=2048 ===

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
4                      42.49             39.98             76.59          20
8                      42.26             39.35             44.72          20
16                     42.03             39.71             44.49          20
32                     42.48             40.40             45.05          20
64                     42.59             40.42             44.79          20
128                    46.42             42.88             50.21          20
256                    74.94             70.99             79.02          20
512                    75.13             71.13             78.37          20
1024                   76.35             71.08             83.39          20
2048                   82.59             75.62             87.53          20
4096                   82.88             79.04             87.70          20
8192                  150.91            146.49            156.52          20
16384                 151.45            146.53            159.34          20
32768                 166.71            161.98            173.94          20
65536                 194.46            189.05            202.05          20
131072                384.47            380.27            390.19          20
262144                403.93            399.04            411.14          20
524288                439.26            432.65            449.19          20
1048576               478.40            469.61            491.41          20
2097152               553.82            546.04            566.19          20
4194304               701.24            692.68            716.06          20
8388608               998.35            985.05           1018.08          20
16777216             1609.10           1588.29           1637.67          20
33554432             2835.23           2806.98           2862.86          20
67108864             5309.61           5281.73           5361.06          20
134217728           10686.38          10661.16          10730.39          20
268435456           21369.90          21342.16          21412.69          20
536870912           44370.35          44319.53          44470.62          20
1073741824         110401.79         110274.99         110541.58          20
2147483648         172615.63         172587.71         172667.26          20
4294967296         343856.14         343825.30         343903.84          20
