=== D_kernel0 sweep : N=2 ranks=16 ===

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
4                       6.91              6.01              7.78          20
8                       6.89              6.75              7.03          20
16                      6.55              6.36              6.75          20
32                      6.49              5.77              7.20          20
64                      6.74              6.33              7.17          20
128                     7.68              6.60              8.68          20
256                    18.95             17.52             20.72          20
512                    17.10             16.12             18.25          20
1024                   18.19             15.93             21.31          20
2048                   24.97             21.15             27.48          20
4096                   35.54             34.79             36.20          20
8192                   55.42             54.43             56.70          20
16384                  60.93             59.93             62.53          20
32768                  69.83             68.79             71.83          20
65536                  92.34             90.87             94.11          20
131072                132.96            130.08            136.31          20
262144                214.82            208.26            221.71          20
524288                380.88            362.28            402.69          20
1048576               733.07            708.01            749.65          20
2097152              1496.86           1488.23           1513.95          20
4194304              2899.39           2893.52           2910.18          20
8388608              5710.70           5704.65           5720.13          20
16777216            11338.51          11331.99          11344.87          20
33554432            22546.20          22539.38          22551.08          20
67108864            45015.73          45002.05          45023.04          20
134217728           90693.82          90685.17          90702.25          20
268435456          180241.04         180230.93         180250.45          20
536870912          359696.29         359684.66         359704.56          20
1073741824         718749.17         718737.97         718754.76          20
2147483648        1436974.06        1436970.41        1436981.56          20
4294967296        2873701.18        2873693.63        2873710.50          20
