=== AUTO_default (stock tree) ===

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
1024                  430.46            412.52            462.18          30
2048                  428.36            408.16            458.96          30
4096                  429.06            408.28            462.62          30
8192                  432.02            416.11            458.05          30
16384                 411.42            398.21            424.70          30
32768                 415.99            403.98            428.44          30
65536                 423.76            412.15            437.76          30
131072                437.28            424.20            451.93          30
262144                501.09            487.52            519.48          30
524288                619.39            612.54            625.96          30
1048576               804.96            799.58            812.59          30
2097152              1125.73           1113.97           1138.70          30
4194304              1728.02           1704.56           1748.76          30
8388608              2997.12           2963.70           3034.04          30
16777216             8508.55           8464.30           8578.11          30
33554432            29628.78          29519.29          29798.90          30
67108864            62248.28          61904.51          62558.27          30
134217728          125554.68         125065.97         126146.45          30
268435456          246688.58         245388.20         248517.69          30
