=== C_forced (rccl everywhere) ===

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
1024                   87.45             70.08             96.35          30
2048                   89.56             72.55             98.73          30
4096                   84.40             70.36             94.92          30
8192                   81.18             66.71             90.18          30
16384                  77.27             61.40             85.23          30
32768                  87.60             82.48             93.87          30
65536                  96.32             89.84            100.71          30
131072                119.98            114.59            123.99          30
262144                166.42            161.55            171.07          30
524288                206.64            200.95            210.54          30
1048576               292.51            287.85            298.38          30
2097152               241.74            230.10            250.76          30
4194304               319.47            310.59            328.12          30
8388608               534.44            525.44            545.81          30
16777216              644.18            619.60            661.37          30
33554432             1037.38           1010.08           1056.36          30
67108864             1812.08           1778.97           1839.38          30
134217728            3378.91           3263.99           3497.15          30
268435456            5638.92           5576.92           5689.85          30
