=== C_mpich_rccl : N=1024 ranks=8192 ===

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
4                     166.51            109.79            183.07          50
8                     163.62            106.72            180.16          50
16                    151.10             96.26            166.94          50
32                    149.55             94.01            165.54          50
64                    160.68             98.07            177.73          50
128                   244.42            143.33            272.22          50
256                   251.35            147.91            280.25          50
512                   260.64            154.17            290.35          50
1024                  273.77            162.00            304.82          50
2048                  308.69            185.91            340.55          50
4096                  316.54            194.16            348.18          50
8192                  306.58            188.24            339.42          50
16384                 306.81            186.10            337.81          50
32768                 336.60            310.29            359.60          50
65536                 384.95            361.53            405.44          50
131072                499.00            477.95            517.44          50
262144                732.40            708.96            754.06          50
524288                773.65            753.39            793.71          50
1048576               925.63            895.63            956.55          50
2097152              1429.06           1325.43           1457.37          50
4194304              2649.64           2534.79           2711.71          50
8388608              3210.35           3083.28           3289.86          50
16777216             4269.02           4102.58           4385.24          50
33554432             7098.79           6847.86           7228.47          50
67108864             9574.53           9152.38           9900.69          50
134217728           15237.95          14752.86          15646.06          50
268435456           18335.06          17437.83          18691.42          50
536870912           31600.98          30529.99          31973.48          50
1073741824          43538.04          41926.77          44407.77          50
