=== A_mpich_host : N=2 ranks=16 ===

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
4                      21.76             18.31             25.32          50
8                      21.88             18.46             25.22          50
16                     21.88             18.62             25.13          50
32                     21.83             17.93             25.54          50
64                     37.01             34.28             39.87          50
128                    37.01             34.16             39.99          50
256                    37.60             34.88             40.42          50
512                    37.39             34.61             40.20          50
1024                   37.89             35.11             40.75          50
2048                   38.90             36.24             41.64          50
4096                   41.55             38.75             44.52          50
8192                   43.80             41.04             46.80          50
16384                  52.20             49.54             55.02          50
32768                  65.21             62.32             68.20          50
65536                  89.06             83.54             92.46          50
131072                130.18            121.79            136.86          50
262144                205.14            194.94            212.44          50
524288                391.50            375.66            406.41          50
1048576               711.82            666.31            759.76          50
2097152              1411.24           1368.73           1467.40          50
4194304              3036.12           2856.83           3189.94          50
8388608              6070.45           5761.31           6483.22          50
16777216            10242.51           9765.56          10533.41          50
33554432            32002.65          31297.27          32626.33          50
