=== C_mpich_rccl : N=2 ranks=16 ===

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
4                      57.54             49.86             63.77          50
8                      49.94             41.30             56.59          50
16                     38.39             29.96             44.99          50
32                     38.45             30.12             44.99          50
64                     39.74             31.02             46.75          50
128                    42.23             32.78             49.84          50
256                    43.36             33.64             51.46          50
512                    44.72             34.71             53.39          50
1024                   46.52             35.99             55.87          50
2048                   50.17             39.35             59.70          50
4096                   54.15             45.24             60.58          50
8192                   52.12             44.90             58.60          50
16384                  54.91             46.85             62.64          50
32768                  64.82             60.11             71.71          50
65536                  70.43             65.72             77.24          50
131072                 82.53             77.96             89.24          50
262144                109.46            104.94            115.75          50
524288                148.87            143.21            155.14          50
1048576               169.56            162.36            178.44          50
2097152               207.35            197.13            222.38          50
4194304               277.97            265.14            296.13          50
8388608               358.87            354.09            364.18          50
16777216              534.30            528.59            540.94          50
33554432              880.18            872.60            889.29          50
67108864             1512.71           1498.60           1524.47          50
134217728            2750.09           2729.47           2769.38          50
268435456            5147.40           5097.72           5177.73          50
536870912            9945.64           9850.67          10010.10          50
1073741824          19055.50          18931.90          19144.64          50
