=== A_mpich_host : N=2048 ranks=16384 ===

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
4                      84.96             77.70             91.99          50
8                      81.68             74.07             89.63          50
16                     81.78             74.80             90.06          50
32                     81.51             74.08             89.59          50
64                     81.88             74.47             90.19          50
128                    85.62             79.20             95.12          50
256                   113.00            102.34            128.04          50
512                   114.30            102.74            130.36          50
1024                  116.61            105.18            132.94          50
2048                  130.40            111.13            146.32          50
4096                  126.13            113.19            143.81          50
8192                  149.68            135.82            172.93          50
16384                 226.23            172.55            474.58          50
32768                 372.89            316.07            572.28          50
65536                1240.56           1224.97           1303.43          50
131072               1710.34           1688.14           1814.85          50
262144               3198.08           3152.09           3323.14          50
524288               4408.72           4316.38           4537.96          50
1048576              5433.08           5256.62           5682.85          50
2097152              6754.68           6466.83           7016.96          50
4194304              8678.46           8200.63           9046.57          50
8388608             10927.09          10344.55          11541.17          50
16777216            14328.00          13924.77          14934.66          50
33554432            46504.48          45168.64          48268.27          50
