=== D_cray_gpuaware : N=2 ranks=16 ===

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
4                       6.74              6.37              7.08          50
8                       6.61              6.38              6.86          50
16                      6.61              6.56              6.67          50
32                      6.66              6.37              6.94          50
64                      6.98              6.86              7.12          50
128                     7.95              7.71              8.21          50
256                    17.59             16.79             18.42          50
512                    17.05             16.41             17.65          50
1024                   17.28             15.45             19.71          50
2048                   19.36             18.07             20.34          50
4096                   32.14             31.11             33.27          50
8192                   54.76             53.90             55.89          50
16384                  60.32             59.62             61.53          50
32768                  71.17             69.79             73.17          50
65536                  94.62             92.96             97.76          50
131072                144.73            143.95            145.74          50
262144                155.52            154.59            156.80          50
524288                182.55            181.80            183.70          50
1048576               206.31            205.69            207.08          50
2097152               263.45            262.61            264.50          50
4194304               374.70            373.49            375.81          50
8388608               601.99            600.57            603.14          50
16777216             1205.01           1203.98           1205.74          50
33554432             2414.85           2413.74           2415.77          50
67108864             4830.96           4829.82           4831.72          50
134217728            9743.08           9742.30           9743.83          50
268435456           19443.04          19442.33          19443.48          50
536870912           38771.70          38770.52          38772.28          50
1073741824          77590.50          77589.84          77591.04          50
