=== A_mpich_host : N=64 ranks=512 ===

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
4                      53.56             47.76             60.51          50
8                      53.75             48.21             60.25          50
16                     53.39             48.30             59.62          50
32                     53.57             48.71             59.25          50
64                     53.99             48.96             59.37          50
128                    56.21             51.12             63.25          50
256                    70.74             65.68             77.24          50
512                    72.30             67.63             78.31          50
1024                   72.93             68.49             77.94          50
2048                  103.81            100.17            108.69          50
4096                  107.83            103.02            114.88          50
8192                  114.86            109.73            122.30          50
16384                 132.45            126.02            139.04          50
32768                 150.24            143.65            157.51          50
65536                 181.67            174.99            191.38          50
131072                227.51            220.10            236.74          50
262144                316.44            295.00            331.30          50
524288                505.57            456.18            541.92          50
1048576               927.53            838.83            987.17          50
2097152              1777.32           1577.95           1911.66          50
4194304              3527.65           3141.28           3866.52          50
8388608              6873.29           6381.36           7297.60          50
16777216            11137.43          10795.52          11552.52          50
33554432            34927.39          33945.19          36182.69          50
