=== D_cray_gpuaware : N=64 ranks=512 ===

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
4                      34.39             32.01             36.40          50
8                      34.17             32.44             36.38          50
16                     34.11             32.19             36.62          50
32                     34.48             30.21             37.28          50
64                     34.20             32.65             36.09          50
128                    36.22             34.26             37.99          50
256                    59.39             57.94             61.56          50
512                    58.00             56.62             60.03          50
1024                   60.78             58.47             64.83          50
2048                   63.93             61.23             66.46          50
4096                   89.28             86.52             92.90          50
8192                  120.80            117.12            123.74          50
16384                 130.36            126.76            133.96          50
32768                 148.02            144.29            152.24          50
65536                 173.26            169.63            176.85          50
131072                321.30            317.70            325.58          50
262144                333.81            330.09            338.21          50
524288                367.73            360.93            373.92          50
1048576               411.80            403.94            418.92          50
2097152               485.90            479.33            493.00          50
4194304               636.73            631.42            641.61          50
8388608               927.75            917.73            941.22          50
16777216             1863.81           1851.98           1878.34          50
33554432             4458.02           4446.63           4467.95          50
67108864            13959.86          13928.48          14014.03          50
134217728           18791.21          18779.35          18822.46          50
268435456           31177.33          31166.42          31189.55          50
536870912           62775.14          62764.12          62786.75          50
1073741824         126125.69         126115.13         126138.14          50
