=== C_mpich_rccl : N=32 ranks=256 ===

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
4                     111.85             80.75            124.82          50
8                     100.41             70.03            113.28          50
16                     89.53             59.17            101.94          50
32                     88.63             58.01            101.57          50
64                     96.06             62.58            109.74          50
128                   142.15             88.39            160.63          50
256                   145.62             90.62            165.10          50
512                   150.38             93.56            170.66          50
1024                  156.00             96.88            177.38          50
2048                  168.21            104.31            190.72          50
4096                  170.72            110.22            190.64          50
8192                  168.96            108.11            188.50          50
16384                 173.88            112.92            192.99          50
32768                 192.05            186.17            200.14          50
65536                 223.56            216.40            233.20          50
131072                280.02            272.74            289.21          50
262144                387.71            379.97            398.76          50
524288                436.51            428.85            446.66          50
1048576               537.49            529.40            548.60          50
2097152               435.82            419.35            458.60          50
4194304               603.76            578.92            656.22          50
8388608              1218.04           1169.92           1265.99          50
16777216             1395.51           1349.24           1447.51          50
33554432             2537.24           2364.17           2708.81          50
67108864             4103.33           3842.08           4271.06          50
134217728            4786.89           4535.89           5245.75          50
268435456            8864.44           8528.76           9135.08          50
536870912           18564.60          17256.71          19018.24          50
1073741824          35342.31          32221.82          36045.97          50
