=== D_cray_gpuaware : N=32 ranks=256 ===

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
4                      28.89             26.54             30.92          50
8                      28.95             27.19             30.38          50
16                     28.84             27.80             29.79          50
32                     28.94             27.63             30.33          50
64                     28.94             27.80             30.00          50
128                    30.43             29.39             31.65          50
256                    50.84             49.15             52.38          50
512                    50.06             48.38             51.50          50
1024                   51.76             48.77             54.55          50
2048                   55.05             52.66             57.47          50
4096                   78.11             75.03             81.20          50
8192                  110.36            107.09            113.48          50
16384                 120.30            116.70            123.15          50
32768                 135.65            131.98            138.41          50
65536                 171.78            167.98            177.53          50
131072                287.42            283.25            291.01          50
262144                301.20            297.81            304.02          50
524288                333.58            326.48            339.39          50
1048576               376.29            370.34            382.57          50
2097152               457.03            450.03            461.56          50
4194304               598.77            591.12            603.81          50
8388608               889.59            879.29            903.78          50
16777216             1807.42           1793.36           1826.02          50
33554432             3707.27           3693.14           3728.88          50
67108864             7628.54           7615.53           7645.43          50
134217728           18367.68          18335.08          18424.23          50
268435456           32448.11          32435.59          32480.61          50
536870912           66332.22          66315.76          66347.46          50
1073741824         123416.73         123404.15         123435.20          50
