=== C_mpich_rccl : N=2048 ranks=16384 ===

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
4                     269.26            176.43            304.38          50
8                     250.06            142.42            283.36          50
16                    234.31            122.93            266.11          50
32                    238.93            120.48            265.90          50
64                    216.84            157.60            239.01          50
128                   278.95            177.07            312.50          50
256                   284.21            178.97            316.90          50
512                   289.30            180.49            322.36          50
1024                  299.06            183.72            332.77          50
2048                  333.22            204.46            368.75          50
4096                  399.34            276.96            438.09          50
8192                  391.89            252.23            441.10          50
16384                 402.01            258.28            446.75          50
32768                 410.15            332.63            442.60          50
65536                 472.43            397.54            515.15          50
131072                604.75            527.65            646.29          50
262144                875.34            787.67            909.09          50
524288                925.51            856.20            953.55          50
1048576              1219.44           1161.50           1246.55          50
2097152              1702.97           1604.52           1743.89          50
4194304              3062.64           2903.01           3176.99          50
8388608              3525.64           3382.72           3628.19          50
16777216             4605.56           4352.00           4796.61          50
33554432             7321.33           7075.80           7434.94          50
67108864            10192.69           9838.37          10762.50          50
134217728           16680.63          15694.58          17434.56          50
268435456           20644.65          19524.58          21184.93          50
536870912           35077.00          33912.71          35545.46          50
1073741824          80649.54          79423.97          81127.79          50
