=== C_forced (rccl everywhere) ===

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
1024                  254.16            160.52            278.88          30
2048                  267.83            166.32            292.86          30
4096                  257.75            158.85            281.80          30
8192                  259.78            159.81            285.30          30
16384                 256.94            158.10            279.59          30
32768                 275.75            259.28            296.00          30
65536                 323.53            308.03            339.75          30
131072                413.95            397.33            431.87          30
262144                590.96            573.12            609.69          30
524288                644.49            625.11            664.52          30
1048576               773.12            748.91            790.89          30
2097152               792.54            743.72            848.51          30
4194304              1293.58           1241.97           1384.42          30
8388608              2420.15           2315.25           2498.62          30
16777216             3895.60           3741.20           4151.71          30
33554432             5231.12           5025.71           5371.23          30
67108864             7515.69           7100.49           7954.33          30
134217728            9352.36           8791.82           9798.44          30
268435456           15182.77          14567.69          15575.43          30
