=== D_cray_gpuaware : N=128 ranks=1024 ===

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
4                      38.38             36.20             41.20          50
8                      38.43             36.41             40.95          50
16                     38.12             35.98             40.51          50
32                     38.20             35.79             40.63          50
64                     38.47             36.61             40.99          50
128                    40.39             37.60             44.03          50
256                    66.69             64.56             70.72          50
512                    65.41             62.96             69.67          50
1024                   68.72             65.99             74.80          50
2048                   72.06             68.76             77.72          50
4096                   98.05             95.44            103.81          50
8192                  131.67            128.43            137.40          50
16384                 140.50            137.60            146.82          50
32768                 156.14            153.05            163.90          50
65536                 187.83            183.15            195.10          50
131072                347.36            344.39            356.33          50
262144                363.56            360.60            372.75          50
524288                399.69            395.46            413.39          50
1048576               438.61            434.31            451.55          50
2097152               517.60            513.29            527.58          50
4194304               662.55            657.42            673.36          50
8388608               960.78            950.16            978.93          50
16777216             2856.72           2829.73           2992.07          50
33554432             7143.81           7114.50           7197.61          50
67108864            18359.23          18330.19          18377.64          50
134217728           18391.07          18372.16          18415.58          50
268435456           65660.46          65639.79          65822.10          50
536870912           69433.99          69423.96          69448.83          50
1073741824         137448.56         137436.56         137464.06          50
