=== D_cray_gpuaware : N=256 ranks=2048 ===

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
4                      42.56             39.86             45.24          50
8                      43.24             40.74             45.87          50
16                     42.32             39.48             44.74          50
32                     42.41             39.75             44.82          50
64                     42.84             40.21             45.00          50
128                    45.86             42.00             49.06          50
256                    74.84             70.50             78.17          50
512                    74.56             70.66             77.29          50
1024                   76.93             72.17             81.21          50
2048                   80.08             75.56             83.38          50
4096                   83.53             79.21             87.86          50
8192                  141.97            136.41            149.01          50
16384                 151.20            144.86            158.91          50
32768                 166.11            159.43            173.66          50
65536                 194.20            188.15            202.00          50
131072                374.74            368.54            382.69          50
262144                392.52            386.92            402.43          50
524288                430.40            422.58            439.98          50
1048576               471.75            463.70            484.57          50
2097152               664.44            653.87            709.87          50
4194304              1436.02           1397.39           1530.43          50
8388608              1461.41           1422.68           1520.57          50
16777216             4525.44           4475.56           4610.50          50
33554432            11629.38          11611.81          11674.52          50
67108864            15029.94          14958.92          15182.30          50
134217728           18483.05          18462.62          18506.19          50
268435456           79925.79          79906.34          80091.85          50
536870912           87268.43          87241.88          87329.07          50
1073741824         190253.39         190241.53         190358.75          50
