=== A_mpich_host : N=256 ranks=2048 ===

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
4                      65.42             58.58             71.45          50
8                      65.50             59.58             71.88          50
16                     65.55             59.32             71.65          50
32                     66.11             59.65             72.17          50
64                     66.42             59.44             72.44          50
128                    69.28             62.14             75.90          50
256                    89.84             82.88             96.84          50
512                    90.91             84.12             97.86          50
1024                   92.16             86.38             97.69          50
2048                   95.08             89.57            100.83          50
4096                  100.19             93.78            106.82          50
8192                  141.42            134.45            168.96          50
16384                 155.46            148.37            164.73          50
32768                 175.81            167.68            186.55          50
65536                 209.57            199.21            222.86          50
131072                258.57            246.90            271.03          50
262144                349.54            327.78            366.52          50
524288                546.95            496.71            576.32          50
1048576               970.25            866.93           1049.18          50
2097152              1874.43           1633.60           2074.11          50
4194304              3791.87           3386.61           4185.59          50
8388608              8372.70           7832.10           8825.06          50
16777216            14000.47          13611.60          14393.11          50
33554432            39935.35          39129.79          41100.93          50
