=== D_cray_gpuaware : N=512 ranks=4096 ===

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
4                      46.73             43.71             50.47          50
8                      46.65             43.70             50.21          50
16                     46.63             42.81             50.53          50
32                     46.99             43.70             51.07          50
64                     46.81             43.85             50.63          50
128                    50.78             47.42             57.13          50
256                    80.89             75.63             86.33          50
512                    81.22             76.81             86.54          50
1024                   83.14             77.75             89.51          50
2048                   86.62             80.72             91.96          50
4096                   90.16             85.03             96.28          50
8192                  125.21            120.11            129.71          50
16384                 162.04            154.13            176.88          50
32768                 176.44            168.08            192.35          50
65536                 203.99            195.61            220.50          50
131072                402.76            395.94            418.33          50
262144                422.31            416.03            435.58          50
524288                460.42            452.97            475.21          50
1048576              1190.74           1183.39           1210.09          50
2097152              1365.93           1354.45           1455.64          50
4194304              2515.03           2503.89           2545.43          50
8388608              2935.37           2916.33           2988.88          50
16777216             6026.48           5981.92           6135.95          50
33554432            12476.27          12385.05          12577.28          50
67108864            10711.67          10693.78          10752.16          50
134217728           19247.51          19232.42          19273.19          50
268435456           86603.18          86538.36          86827.97          50
536870912           96894.77          96859.53          96970.93          50
1073741824         219804.74         219777.77         219946.90          50
