=== C_mpich_rccl : N=64 ranks=512 ===

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
4                     121.61             84.77            135.33          50
8                     112.21             75.69            125.80          50
16                     99.76             63.86            112.94          50
32                     99.58             63.24            113.05          50
64                    108.56             68.25            123.24          50
128                   162.41             97.72            182.52          50
256                   166.93            100.61            187.56          50
512                   171.86            103.48            193.08          50
1024                  180.62            108.78            202.70          50
2048                  197.16            119.46            219.77          50
4096                  203.77            130.30            225.33          50
8192                  201.04            126.14            224.28          50
16384                 205.17            129.56            227.41          50
32768                 222.46            212.06            229.94          50
65536                 259.29            248.05            267.32          50
131072                326.66            316.35            334.17          50
262144                456.94            445.34            465.31          50
524288                510.23            498.85            519.73          50
1048576               614.62            602.69            624.87          50
2097152               498.43            475.33            528.99          50
4194304               653.34            618.42            715.07          50
8388608              1270.81           1186.04           1382.64          50
16777216             1578.26           1481.17           1747.43          50
33554432             3364.96           3220.28           3480.11          50
67108864             5476.86           5181.06           5752.72          50
134217728            5824.95           5323.62           6281.72          50
268435456            9384.86           8907.88          10407.87          50
536870912           21140.26          20241.79          21473.89          50
1073741824          36421.07          35136.58          37145.65          50
