=== AUTO_default (stock tree) ===

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
1024                  231.02            228.86            234.81          30
2048                  231.88            229.41            235.91          30
4096                  233.30            229.33            235.92          30
8192                  242.55            240.33            246.35          30
16384                 246.11            243.39            249.74          30
32768                 251.60            248.94            254.80          30
65536                 255.59            252.83            259.79          30
131072                263.78            261.36            267.53          30
262144                294.32            291.80            298.44          30
524288                363.10            360.27            366.14          30
1048576               497.27            494.98            501.15          30
2097152               717.88            715.10            722.14          30
4194304              1136.54           1128.08           1149.50          30
8388608              1956.35           1952.34           1960.16          30
16777216             5861.45           5857.46           5867.38          30
33554432            23514.45          23392.83          23626.31          30
67108864            43815.38          43480.86          44007.26          30
134217728           88159.12          87524.82          88484.57          30
268435456          171128.52         170033.03         171656.97          30
