=== C_forced (rccl everywhere) ===

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
1024                   60.29             58.08             63.40          30
2048                   60.83             57.81             64.15          30
4096                   53.78             51.61             57.28          30
8192                   50.52             47.24             54.39          30
16384                  56.69             54.70             59.40          30
32768                  55.99             54.37             57.85          30
65536                  55.60             53.32             57.84          30
131072                 56.26             53.97             58.57          30
262144                 92.63             88.12             96.80          30
524288                115.02            107.57            120.80          30
1048576               126.57            119.65            131.43          30
2097152               150.51            143.66            155.16          30
4194304               198.03            191.34            203.95          30
8388608               289.27            276.61            297.57          30
16777216              303.82            301.76            306.37          30
33554432              510.05            505.63            517.04          30
67108864              924.66            913.92            940.63          30
134217728            1760.03           1736.80           1797.17          30
268435456            3429.74           3382.27           3506.62          30
