=== D_blk64 sweep : N=1 ranks=8 ===

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
4                       3.15              3.07              3.21          20
8                       2.51              2.47              2.56          20
16                      2.57              2.54              2.62          20
32                      2.46              2.41              2.50          20
64                      2.52              2.48              2.55          20
128                     2.65              2.62              2.69          20
256                    13.33             12.45             14.47          20
512                    11.81             11.16             12.41          20
1024                   13.34             11.63             16.48          20
2048                   16.88             13.80             19.02          20
4096                   22.80             22.63             23.25          20
8192                   44.53             43.83             45.54          20
16384                  48.71             48.14             49.57          20
32768                  58.29             57.57             59.17          20
65536                  79.68             78.98             80.67          20
131072                116.75            116.10            117.23          20
262144                122.23            121.34            123.15          20
524288                136.59            135.58            137.69          20
1048576               160.11            159.80            160.68          20
2097152               210.20            209.81            210.79          20
4194304               312.70            312.29            313.28          20
8388608               514.46            514.00            515.17          20
16777216              932.25            931.66            933.11          20
33554432             1762.12           1761.50           1762.63          20
67108864             3409.57           3409.30           3409.75          20
134217728            6820.99           6820.54           6821.55          20
268435456           13652.48          13652.08          13652.75          20
536870912           27296.84          27296.59          27297.10          20
1073741824          54621.68          54621.27          54622.23          20
2147483648         109226.24         109225.76         109226.57          20
4294967296         218530.29         218529.88         218530.57          20
