=== D_blk128 sweep : N=512 ranks=4096 ===

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
4                      48.87             45.11            109.87          10
8                      48.50             45.02             51.33          10
16                     48.32             45.09             51.59          10
32                     48.29             44.93             51.01          10
64                     49.14             44.62             52.91          10
128                    53.38             47.59             59.82          10
256                    84.57             78.34             91.97          10
512                    87.89             83.07             94.66          10
1024                   85.03             79.55             92.97          10
2048                   93.76             84.86            100.84          10
4096                   92.11             86.37             97.38          10
8192                  145.87            138.88            156.52          10
16384                 169.47            164.11            176.77          10
32768                 186.34            179.77            200.72          10
65536                 212.15            205.36            220.54          10
131072                420.07            411.59            430.72          10
262144                438.36            430.14            450.96          10
524288                478.80            471.37            488.91          10
1048576               525.70            515.64            541.90          10
2097152               602.74            591.02            625.68          10
4194304               746.83            734.15            763.97          10
8388608              1039.19           1026.15           1057.92          10
16777216             1656.73           1637.78           1684.45          10
33554432             2888.75           2856.54           2922.37          10
67108864             5395.81           5347.84           5468.45          10
134217728           10513.04          10437.68          10774.26          10
268435456           21103.18          21029.12          21214.34          10
536870912           42372.03          42308.93          42467.86          10
1073741824          84879.01          84805.21          84979.24          10
2147483648         170910.30         170792.19         171079.37          10
4294967296         385435.91         385259.03         385720.07          10
