=== AUTO_json (RCCL >=64 KiB via csel) ===

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
1024                  310.03            301.85            320.14          30
2048                  309.60            302.23            318.75          30
4096                  312.27            297.39            327.68          30
8192                  322.90            309.74            339.15          30
16384                 324.59            311.27            340.15          30
32768                 330.60            313.78            345.93          30
65536                 339.59            326.55            355.70          30
131072                 86.05             83.29             89.41          30
262144                106.42            103.63            110.45          30
524288                149.93            145.92            154.07          30
1048576               166.85            162.35            170.94          30
2097152               196.67            189.98            202.06          30
4194304               261.21            250.99            272.27          30
8388608               361.22            355.40            366.68          30
16777216              537.79            530.58            543.79          30
33554432              884.74            876.48            891.05          30
67108864             1517.95           1507.12           1530.04          30
134217728            2754.59           2740.20           2771.50          30
268435456            5162.08           5128.05           5191.36          30
