=== A_mpich_host : N=1024 ranks=8192 ===

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
4                      76.14             70.58             81.97          50
8                      76.97             71.43             83.61          50
16                     76.36             70.55             81.78          50
32                     76.11             70.07             81.68          50
64                     76.92             71.88             82.49          50
128                    80.18             74.69             88.28          50
256                   104.79             95.31            125.54          50
512                   107.00             99.26            124.86          50
1024                  108.41             99.45            129.35          50
2048                  112.23            103.04            132.84          50
4096                  117.88            107.96            141.50          50
8192                  137.77            126.31            168.28          50
16384                 182.56            156.20            327.53          50
32768                 312.46            300.01            472.94          50
65536                 345.39            329.62            567.42          50
131072                929.60            907.00           1091.00          50
262144               1574.60           1535.86           1789.49          50
524288               2853.98           2788.60           2974.50          50
1048576              3910.06           3745.97           4125.63          50
2097152              4908.62           4649.39           5162.02          50
4194304              7437.99           6978.45           7836.68          50
8388608             10872.43          10264.70          11472.25          50
16777216            14765.09          14364.57          15287.64          50
33554432            46235.40          44984.17          48168.81          50
