=== A_mpich_host : N=128 ranks=1024 ===

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
4                      59.69             53.36             66.44          50
8                      60.18             52.96             66.79          50
16                     60.03             54.27             66.74          50
32                     60.05             53.59             66.17          50
64                     60.33             54.23             66.71          50
128                    62.40             56.18             70.04          50
256                    80.47             75.31             86.10          50
512                    81.61             75.18             87.29          50
1024                   82.88             76.92             88.10          50
2048                   85.49             80.83             91.22          50
4096                  122.56            115.83            129.00          50
8192                  128.98            123.38            135.30          50
16384                 143.74            138.49            150.05          50
32768                 164.60            158.42            172.90          50
65536                 195.52            188.45            204.75          50
131072                243.44            231.09            253.44          50
262144                336.86            317.57            357.29          50
524288                522.92            482.69            558.81          50
1048576               941.03            840.93           1009.41          50
2097152              1866.04           1632.86           2064.53          50
4194304              3687.45           3174.37           4067.66          50
8388608              6972.72           6380.71           7446.15          50
16777216            12509.61          12102.53          13027.17          50
33554432            37895.59          37009.15          39564.27          50
