=== C_mpich_rccl : N=128 ranks=1024 ===

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
4                     133.15             91.54            148.01          50
8                     125.32             84.12            140.01          50
16                    112.20             71.69            126.29          50
32                    113.43             72.61            127.81          50
64                    122.85             77.32            138.54          50
128                   187.95            113.11            210.26          50
256                   193.49            116.79            216.54          50
512                   200.77            121.88            224.24          50
1024                  208.81            126.28            232.90          50
2048                  230.35            139.98            255.65          50
4096                  234.58            146.64            258.05          50
8192                  234.37            146.43            259.15          50
16384                 234.99            146.01            258.00          50
32768                 249.97            238.32            260.93          50
65536                 293.06            281.53            303.61          50
131072                371.58            359.17            381.96          50
262144                523.41            510.96            535.24          50
524288                590.66            576.99            603.17          50
1048576               680.98            666.63            694.64          50
2097152               672.81            644.11            722.63          50
4194304               861.34            825.49            915.72          50
8388608              1919.56           1817.66           2057.72          50
16777216             2807.08           2710.45           2969.06          50
33554432             4228.04           4100.94           4411.10          50
67108864             6851.59           6628.07           7007.52          50
134217728            6910.45           6471.91           7163.37          50
268435456           12246.37          11664.84          12541.45          50
536870912           21648.19          20578.85          21947.67          50
1073741824          37139.93          35084.66          38338.61          50
