=== D_cray_gpuaware : N=8 ranks=64 ===

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
4                      18.19             16.97             19.21          50
8                      18.01             17.34             18.85          50
16                     18.08             17.30             18.78          50
32                     18.07             17.19             19.19          50
64                     18.28             17.79             18.83          50
128                    18.97             17.73             20.17          50
256                    35.28             34.28             36.46          50
512                    34.03             33.13             34.97          50
1024                   35.79             33.90             38.27          50
2048                   39.45             38.24             41.04          50
4096                   58.14             57.22             59.35          50
8192                   88.91             87.32             90.60          50
16384                  97.40             96.00             98.97          50
32768                 113.36            108.53            116.01          50
65536                 129.80            128.15            131.24          50
131072                221.25            219.67            223.20          50
262144                236.12            233.39            239.22          50
524288                266.01            263.83            267.85          50
1048576               309.40            307.40            310.94          50
2097152               382.76            380.24            384.67          50
4194304               509.24            507.22            511.28          50
8388608               782.68            774.48            791.62          50
16777216             1572.19           1560.37           1584.98          50
33554432             3159.08           3147.49           3172.21          50
67108864             6357.72           6346.65           6374.47          50
134217728           12826.13          12815.05          12844.56          50
268435456           26747.11          26736.90          26761.95          50
536870912           54393.55          54383.42          54408.58          50
1073741824         105073.59         104993.29         105288.26          50
