=== AUTO_default (stock tree) ===

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
1024                  413.16            374.10            482.66          30
2048                  788.50            759.78            826.01          30
4096                  784.34            759.24            825.74          30
8192                  766.58            740.92            802.31          30
16384                 757.51            743.41            789.64          30
32768                 762.03            743.99            777.23          30
65536                 767.96            750.72            783.63          30
131072                778.78            765.04            792.83          30
262144                852.84            838.98            867.27          30
524288               1032.59           1017.89           1048.23          30
1048576              1218.36           1200.58           1230.78          30
2097152              1551.71           1536.84           1566.58          30
4194304              2229.41           2214.86           2245.01          30
8388608              3509.46           3494.22           3531.09          30
16777216             9869.36           9775.91          10025.33          30
33554432            34511.08          34344.98          34700.71          30
67108864            72764.99          72293.97          73240.36          30
134217728          145379.25         144633.47         146401.41          30
268435456          279123.04         276922.41         282081.40          30
