=== C_forced (rccl everywhere) ===

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
1024                  198.53            126.31            220.26          30
2048                  210.10            132.57            233.41          30
4096                  199.79            124.85            220.12          30
8192                  200.35            126.96            221.85          30
16384                 201.77            127.71            220.80          30
32768                 220.96            210.75            232.57          30
65536                 257.57            248.26            266.70          30
131072                325.15            316.60            334.14          30
262144                455.00            444.54            465.93          30
524288                507.54            497.69            516.42          30
1048576               610.99            599.20            623.55          30
2097152               495.62            469.70            532.22          30
4194304               655.73            612.95            741.26          30
8388608              1240.48           1167.92           1343.73          30
16777216             2191.62           2095.89           2310.58          30
33554432             2818.46           2669.52           3068.92          30
67108864             5424.53           5059.76           5655.28          30
134217728            5872.35           5579.42           6668.40          30
268435456            9390.93           8966.16           9834.73          30
