=== C_forced (rccl everywhere) ===

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
1024                  101.00             75.76            116.74          30
2048                  104.11             77.78            119.89          30
4096                   99.55             74.64            114.78          30
8192                  101.97             77.88            117.89          30
16384                  94.42             71.12            106.10          30
32768                 107.20            101.25            114.16          30
65536                 124.54            119.47            129.33          30
131072                159.62            154.88            165.32          30
262144                229.11            223.88            234.59          30
524288                299.18            292.14            305.54          30
1048576               366.44            359.87            373.55          30
2097152               296.16            281.86            312.88          30
4194304               414.03            394.55            439.05          30
8388608               591.72            532.59            623.88          30
16777216              825.12            766.80            884.10          30
33554432             1190.77           1112.17           1247.65          30
67108864             2259.86           2109.87           2333.32          30
134217728            3834.14           3754.56           3977.50          30
268435456            5760.12           5731.45           5789.44          30
