=== AUTO_default (stock tree) ===

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
1024                  530.01            505.80            553.17          30
2048                  527.06            498.46            552.75          30
4096                  522.77            494.84            549.59          30
8192                  531.82            505.64            558.76          30
16384                 531.67            503.17            558.78          30
32768                 537.11            505.78            564.79          30
65536                 551.39            523.95            578.16          30
131072                566.39            538.70            591.57          30
262144                620.49            596.45            644.57          30
524288                750.04            734.17            772.01          30
1048576               980.11            960.50            993.35          30
2097152              1337.80           1313.17           1354.39          30
4194304              1928.73           1908.74           1968.60          30
8388608              3290.19           3255.24           3349.29          30
16777216             9382.15           9319.55           9517.47          30
33554432            31749.65          31582.47          31900.37          30
67108864            67420.21          67133.72          67854.60          30
134217728          134536.72         133931.48         135080.96          30
268435456          264303.74         262935.85         266648.04          30
