=== D_kernel0 sweep : N=32 ranks=256 ===

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
4                      30.05             28.50             58.46          20
8                      29.41             27.95             30.60          20
16                     29.35             27.27             32.04          20
32                     29.11             27.17             31.00          20
64                     29.56             27.93             31.18          20
128                    31.24             28.36             34.87          20
256                    52.62             50.74             56.02          20
512                    51.87             50.32             54.11          20
1024                   52.54             49.96             57.22          20
2048                   59.47             53.76             63.20          20
4096                   81.22             79.36             83.73          20
8192                  115.32            112.26            117.87          20
16384                 122.62            119.93            125.04          20
32768                 140.19            135.95            145.05          20
65536                 164.03            161.25            166.94          20
131072                243.23            237.46            247.12          20
262144                292.61            281.23            300.28          20
524288                472.57            444.36            491.09          20
1048576               842.99            800.58            859.80          20
2097152              1700.58           1663.04           1719.91          20
4194304              3324.31           3288.41           3343.36          20
8388608              6600.97           6561.79           6615.89          20
16777216            21166.82          21128.49          21186.26          20
33554432            33496.48          33460.26          33515.45          20
67108864            52410.84          52369.20          52429.94          20
134217728          104887.46         104848.28         104906.61          20
268435456          209399.96         209364.96         209419.59          20
536870912          418534.14         418489.04         418554.08          20
1073741824         837366.77         837325.63         837383.80          20
2147483648        1677353.41        1677309.69        1677366.96          20
4294967296        3353879.59        3353841.47        3353894.62          20
