=== D_blk64 sweep : N=4 ranks=32 ===

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
4                      13.48             12.71             14.31          20
8                      13.29             12.21             14.62          20
16                     13.29             13.03             13.55          20
32                     13.34             12.78             13.88          20
64                     13.26             12.81             13.70          20
128                    14.13             12.79             15.41          20
256                    29.90             28.27             31.74          20
512                    29.15             27.36             30.87          20
1024                   28.74             26.28             32.19          20
2048                   34.57             30.27             38.18          20
4096                   51.19             49.81             52.37          20
8192                   79.50             77.59             80.83          20
16384                  82.53             81.17             84.36          20
32768                  92.94             91.76             95.03          20
65536                 116.16            114.36            117.79          20
131072                193.83            192.15            195.71          20
262144                203.87            202.77            205.12          20
524288                239.10            236.75            241.71          20
1048576               271.07            270.05            272.75          20
2097152               330.89            329.78            331.94          20
4194304               452.01            450.80            453.48          20
8388608               726.05            725.15            727.28          20
16777216             1250.75           1246.68           1257.49          20
33554432             2377.54           2354.60           2404.31          20
67108864             4728.53           4679.31           4778.85          20
134217728            9509.92           9467.61           9553.76          20
268435456           19160.49          19122.02          19201.37          20
536870912           38491.88          38454.76          38532.14          20
1073741824          77104.94          77068.13          77144.14          20
2147483648         154353.58         154322.67         154385.54          20
4294967296         308774.43         308736.75         308815.02          20
