=== A_mpich_host : N=4 ranks=32 ===

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
4                      31.07             26.53             35.87          50
8                      30.90             27.43             34.43          50
16                     30.82             27.32             34.29          50
32                     31.00             27.40             34.85          50
64                     31.14             27.56             34.91          50
128                    54.72             51.61             58.30          50
256                    54.86             51.38             58.53          50
512                    55.24             52.05             58.81          50
1024                   56.00             52.57             59.06          50
2048                   57.43             54.28             60.82          50
4096                   64.47             61.47             67.49          50
8192                   70.23             66.72             73.88          50
16384                  79.10             75.37             83.20          50
32768                  93.53             89.02             97.53          50
65536                 118.63            113.00            124.29          50
131072                160.20            150.06            168.54          50
262144                251.32            240.02            264.29          50
524288                420.88            401.89            442.92          50
1048576               832.28            776.94            881.94          50
2097152              1570.33           1510.25           1642.45          50
4194304              3051.36           2881.35           3278.79          50
8388608              6116.78           5717.11           6416.95          50
16777216            10191.37           9979.21          10396.07          50
33554432            33113.22          32229.78          33682.29          50
