=== A_mpich_host : N=1 ranks=8 ===

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
4                      17.09             13.89             20.33          50
8                      16.89             13.66             20.13          50
16                     16.59             13.43             19.80          50
32                     27.34             24.73             29.84          50
64                     28.33             25.59             30.99          50
128                    28.46             25.79             31.07          50
256                    28.15             25.53             30.75          50
512                    28.64             26.05             31.24          50
1024                   29.40             26.66             32.11          50
2048                   28.97             26.33             31.57          50
4096                   30.50             27.76             33.25          50
8192                   32.33             29.54             35.03          50
16384                  38.93             36.30             41.42          50
32768                  51.46             49.03             53.87          50
65536                  71.33             69.32             73.48          50
131072                106.80            101.92            111.16          50
262144                165.23            157.14            172.03          50
524288                268.70            265.61            273.58          50
1048576               520.01            487.67            550.60          50
2097152              1032.86            983.70           1081.28          50
4194304              2030.31           1939.25           2147.94          50
8388608              4217.89           4035.11           4473.12          50
16777216             7988.12           7881.18           8042.09          50
33554432            29687.75          29209.68          30075.51          50
