=== D_cray_gpuaware : N=2 ranks=16 ===

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
4                       6.56              6.29              6.82          50
8                       6.65              6.41              6.91          50
16                      6.36              6.33              6.40          50
32                      6.34              6.30              6.37          50
64                      6.45              6.07              6.82          50
128                     7.34              6.77              7.93          50
256                    16.78             16.04             17.68          50
512                    15.69             14.93             16.39          50
1024                   17.02             15.24             19.51          50
2048                   19.09             17.84             20.04          50
4096                   31.38             30.88             32.13          50
8192                   54.19             53.33             55.01          50
16384                  59.22             58.19             60.15          50
32768                  69.07             68.02             70.01          50
65536                 102.99            101.26            104.70          50
131072                144.07            143.45            144.80          50
262144                156.62            154.83            158.63          50
524288                177.73            176.67            178.78          50
1048576               205.81            204.68            206.77          50
2097152               262.57            261.93            263.33          50
4194304               372.74            371.94            373.53          50
8388608               600.21            599.52            600.77          50
16777216             1202.19           1201.48           1202.73          50
33554432             2403.78           2403.20           2404.43          50
67108864             4808.71           4808.35           4808.95          50
134217728            9706.32           9705.53           9706.88          50
268435456           19397.71          19397.12          19398.25          50
536870912           38763.48          38762.37          38764.29          50
1073741824          77554.59          77554.28          77554.84          50
