=== AUTO_default (stock tree) ===

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
1024                  696.32            674.20            738.54          30
2048                  696.64            673.61            740.82          30
4096                  690.72            664.28            742.00          30
8192                  691.01            662.82            743.89          30
16384                 704.09            677.36            755.04          30
32768                 697.79            675.74            746.35          30
65536                 687.38            664.67            721.56          30
131072                699.66            685.70            714.41          30
262144                763.40            751.55            778.06          30
524288                940.62            925.96            959.62          30
1048576              1156.77           1144.06           1171.62          30
2097152              1507.08           1493.73           1524.01          30
4194304              2117.07           2104.90           2129.26          30
8388608              4155.85           4138.23           4173.29          30
16777216            10106.56           9989.78          10278.49          30
33554432            33997.48          33676.99          34216.82          30
67108864            72974.10          72536.23          73383.28          30
134217728          143612.21         142727.52         144599.72          30
268435456          280203.17         277870.95         282166.32          30
