=== AUTO_json (RCCL >=64 KiB via csel) ===

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
1024                  651.50            632.01            702.51          30
2048                  651.15            631.23            702.56          30
4096                  655.29            634.61            705.84          30
8192                  667.87            646.50            710.11          30
16384                 682.17            667.27            697.18          30
32768                 700.15            686.84            716.48          30
65536                 714.99            700.65            728.71          30
131072                285.93            277.34            293.65          30
262144                388.89            378.63            398.21          30
524288                437.60            427.15            447.90          30
1048576               536.85            528.22            544.55          30
2097152               438.21            413.95            461.45          30
4194304               586.39            548.18            655.85          30
8388608              1005.01            919.85           1084.21          30
16777216             1242.20           1174.14           1404.74          30
33554432             2317.57           2177.98           2482.97          30
67108864             4319.71           4096.63           4505.50          30
134217728            4813.93           4597.30           5256.84          30
268435456           10007.48           9707.63          10289.32          30
