=== C_forced (rccl everywhere) ===

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
1024                  174.28            114.68            194.69          30
2048                  185.74            120.20            207.80          30
4096                  175.83            112.83            195.54          30
8192                  172.23            109.86            192.32          30
16384                 175.12            112.89            194.28          30
32768                 191.24            184.31            200.58          30
65536                 223.38            214.17            233.33          30
131072                279.58            270.86            288.36          30
262144                386.78            376.04            395.70          30
524288                436.88            428.36            446.63          30
1048576               535.64            526.73            545.16          30
2097152               435.68            414.73            457.93          30
4194304               524.09            502.00            559.88          30
8388608              1083.43            932.04           1170.94          30
16777216             1363.55           1304.62           1518.09          30
33554432             1891.07           1830.48           1952.62          30
67108864             4578.38           4344.43           4663.84          30
134217728            4496.95           4350.83           4904.47          30
268435456            8764.22           8590.61           9278.30          30
