=== C_mpich_rccl : N=32 ranks=256 ===

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
4                     113.10             82.49            125.48          50
8                     105.18             74.85            116.55          50
16                     92.00             63.57            103.03          50
32                     92.61             64.28            103.75          50
64                     99.89             68.51            111.80          50
128                   145.48             93.71            162.49          50
256                   148.60             95.80            166.38          50
512                   152.67             97.61            171.14          50
1024                  159.19            101.47            178.67          50
2048                  174.23            111.01            195.46          50
4096                  174.95            115.38            193.21          50
8192                  173.22            112.34            191.96          50
16384                 177.83            116.06            196.23          50
32768                 193.42            186.11            200.55          50
65536                 224.66            216.19            231.24          50
131072                281.37            273.68            288.77          50
262144                390.25            379.64            397.82          50
524288                439.04            428.75            447.86          50
1048576               537.50            526.30            545.30          50
2097152               469.62            448.79            489.54          50
4194304               571.23            543.60            608.94          50
8388608              1023.99            951.08           1110.17          50
16777216             1433.37           1387.12           1482.54          50
33554432             2460.62           2272.55           2611.23          50
67108864             4925.41           4728.10           5003.87          50
134217728            4439.01           4138.90           4934.27          50
268435456            8975.35           8627.66           9804.27          50
536870912           18084.43          16905.83          18404.87          50
1073741824          35767.37          33070.43          36916.74          50
