=== D_cray_gpuaware : N=32 ranks=256 ===

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
4                      29.30             28.08             30.24          50
8                      29.26             28.33             30.31          50
16                     29.06             28.52             29.63          50
32                     29.19             26.76             30.95          50
64                     30.15             28.92             31.77          50
128                    31.03             30.03             31.93          50
256                    51.30             49.65             52.88          50
512                    50.12             48.91             51.41          50
1024                   52.17             50.05             55.62          50
2048                   55.51             52.82             57.34          50
4096                   79.23             78.17             80.44          50
8192                  112.27            110.72            114.28          50
16384                 120.12            118.55            121.91          50
32768                 136.10            134.23            138.01          50
65536                 162.21            160.40            164.68          50
131072                288.36            285.91            290.75          50
262144                301.07            298.54            303.90          50
524288                337.67            335.09            340.72          50
1048576               378.21            375.65            381.44          50
2097152               457.05            454.65            459.93          50
4194304               600.76            598.11            603.58          50
8388608               884.67            882.61            886.79          50
16777216             1772.11           1770.39           1773.97          50
33554432             3595.94           3593.19           3601.12          50
67108864             7219.05           7217.70           7221.13          50
134217728           14805.32          14802.47          14808.59          50
268435456           34663.36          34636.18          34713.03          50
536870912           63292.20          63285.38          63295.45          50
1073741824         120104.85         120102.36         120108.08          50
