=== D_cray_gpuaware : N=32 ranks=256 ===

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
4                      29.09             27.11             30.60          50
8                      29.31             28.41             30.75          50
16                     29.15             27.87             30.52          50
32                     29.08             27.18             30.37          50
64                     29.12             27.54             30.54          50
128                    30.67             29.05             32.67          50
256                    51.37             50.07             53.14          50
512                    50.20             48.29             52.69          50
1024                   52.07             50.03             55.12          50
2048                   55.52             53.38             57.95          50
4096                   78.72             75.01             80.96          50
8192                  111.27            106.89            113.65          50
16384                 119.63            115.05            122.45          50
32768                 135.55            130.52            138.46          50
65536                 171.23            163.76            177.61          50
131072                288.05            284.22            291.74          50
262144                301.07            297.03            305.52          50
524288                336.22            326.96            340.61          50
1048576               377.10            368.38            381.02          50
2097152               456.07            448.97            460.08          50
4194304               601.13            591.94            605.17          50
8388608               886.05            877.60            890.13          50
16777216             1777.34           1768.10           1781.19          50
33554432             3620.40           3610.47           3626.39          50
67108864             7256.17           7247.28           7260.00          50
134217728           16607.46          16598.97          16611.56          50
268435456           33359.79          33349.87          33396.64          50
536870912           64110.51          64097.60          64115.20          50
1073741824         120488.28         120479.09         120492.73          50
