=== D_kernel0 sweep : N=32 ranks=256 ===

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
4                      30.71             27.25             63.19          20
8                      29.75             27.84             31.28          20
16                     29.59             28.73             30.35          20
32                     29.40             27.64             30.84          20
64                     29.54             27.41             31.69          20
128                    31.16             29.05             32.71          20
256                    52.75             50.76             55.47          20
512                    51.85             49.76             54.07          20
1024                   80.38             77.66             84.56          20
2048                   59.14             53.86             62.94          20
4096                   81.39             79.33             83.28          20
8192                  145.21            142.83            147.85          20
16384                 123.52            120.85            126.80          20
32768                 140.98            137.81            144.63          20
65536                 166.67            162.11            194.58          20
131072                242.48            237.08            247.56          20
262144                390.91            379.53            400.79          20
524288                482.65            439.31            514.08          20
1048576               879.98            833.51            922.00          20
2097152              1751.38           1702.67           1781.38          20
4194304              3415.89           3380.04           3434.64          20
8388608              6847.25           6804.52           6883.00          20
16777216            21518.44          21484.96          21535.91          20
33554432            34287.47          34245.41          34303.51          20
67108864            54672.12          54633.93          54689.94          20
134217728          109154.83         109116.50         109171.82          20
268435456          216660.26         216621.60         216697.43          20
536870912          433872.62         433837.31         433890.97          20
1073741824         868664.76         868626.05         868683.03          20
2147483648        1737290.09        1737248.32        1737306.57          20
4294967296        3479497.96        3479452.29        3479515.81          20
