=== C_forced (rccl everywhere) ===

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                      57.51             49.77             63.98          30
16                     56.93             49.29             63.17          30
32                     47.46             40.28             53.55          30
64                     40.37             32.63             47.10          30
128                    43.99             35.32             51.65          30
256                    44.84             35.92             52.92          30
512                    46.67             37.29             55.27          30
1024                   48.33             38.40             57.43          30
2048                   51.82             41.34             61.64          30
4096                   57.69             49.40             65.72          30
8192                   59.02             51.10             66.84          30
16384                  57.11             49.36             64.33          30
32768                  63.38             60.39             67.22          30
65536                  69.34             66.19             72.89          30
131072                 81.82             78.74             85.04          30
262144                105.73            102.88            108.08          30
524288                148.37            144.88            154.98          30
1048576               165.01            161.49            170.17          30
2097152               192.87            188.89            199.25          30
4194304               251.01            247.08            258.76          30
8388608               359.00            352.60            367.71          30
16777216              534.34            528.23            541.60          30
33554432              880.23            871.89            889.07          30
67108864             1516.90           1502.40           1533.02          30
134217728            2755.45           2734.47           2779.98          30
268435456            5160.45           5115.58           5202.75          30
