=== AUTO_json (RCCL >=64 KiB via csel) ===

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                      58.75             50.69             64.97          30
16                     57.65             49.94             63.58          30
32                     47.19             39.65             53.13          30
64                     40.57             32.78             46.88          30
128                    43.86             34.99             51.26          30
256                    45.20             35.94             53.09          30
512                    47.03             37.51             55.37          30
1024                   48.59             38.79             57.44          30
2048                   52.06             41.68             61.31          30
4096                   57.60             49.62             65.35          30
8192                   58.16             50.27             65.83          30
16384                  56.25             49.25             62.94          30
32768                  62.20             59.75             64.38          30
65536                  68.19             65.87             69.97          30
131072                 80.89             78.45             82.90          30
262144                104.79            102.35            106.71          30
524288                148.02            145.48            152.70          30
1048576               164.95            161.71            168.88          30
2097152               193.23            190.00            196.78          30
4194304               250.65            245.94            255.68          30
8388608               358.76            353.39            365.83          30
16777216              535.18            529.51            542.17          30
33554432              881.96            874.48            891.34          30
67108864             1519.06           1506.99           1532.30          30
134217728            2758.13           2741.55           2777.16          30
268435456            5165.05           5126.15           5198.06          30
