=== AUTO_default (stock tree) ===

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                     170.98            152.40            190.96          30
16                    166.58            150.01            183.74          30
32                    165.81            148.56            182.74          30
64                    328.27            323.34            333.46          30
128                   315.64            311.37            321.46          30
256                   314.09            307.92            320.40          30
512                   326.09            321.79            331.02          30
1024                  315.05            310.30            321.65          30
2048                  311.63            307.06            315.07          30
4096                  324.83            317.80            331.48          30
8192                  326.47            317.33            335.14          30
16384                 330.13            323.34            338.06          30
32768                 339.12            331.98            346.12          30
65536                 341.75            334.61            348.90          30
131072                358.87            351.47            370.53          30
262144                399.56            392.36            411.14          30
524288                478.77            472.94            488.86          30
1048576               643.40            637.79            650.79          30
2097152              1007.24           1003.56           1012.18          30
4194304              1473.94           1464.53           1487.06          30
8388608              2487.44           2478.94           2494.69          30
16777216             7679.18           7666.06           7691.21          30
33554432            28018.86          27831.31          28143.33          30
67108864            60201.70          59922.65          60384.43          30
134217728          118870.00         118366.24         119347.19          30
268435456          235507.30         234314.09         236962.82          30
