=== C_mpich_rccl : N=256 ranks=2048 ===

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
4                     146.77             99.22            161.73          50
8                     139.28             92.49            154.12          50
16                    125.20             79.40            139.69          50
32                    126.39             80.20            141.10          50
64                    138.76             87.11            154.40          50
128                   213.94            129.43            237.49          50
256                   219.04            132.49            243.39          50
512                   225.72            136.02            251.65          50
1024                  237.87            143.42            264.02          50
2048                  258.58            154.64            286.76          50
4096                  265.17            163.72            292.47          50
8192                  264.79            164.76            292.41          50
16384                 264.66            162.57            289.49          50
32768                 279.01            262.67            292.55          50
65536                 326.30            310.71            341.05          50
131072                425.58            411.50            440.41          50
262144                625.49            605.26            640.74          50
524288                648.31            630.76            663.44          50
1048576               765.22            748.89            777.66          50
2097152               673.77            639.07            722.05          50
4194304              1679.78           1606.62           1811.07          50
8388608              2176.71           2076.53           2273.83          50
16777216             3947.68           3813.48           4040.72          50
33554432             5805.02           5516.67           5962.95          50
67108864             8282.51           8006.08           8354.78          50
134217728           10278.23           9733.40          10561.21          50
268435456           15218.51          14398.17          15666.07          50
536870912           23482.86          22494.74          23788.05          50
1073741824          38191.76          35500.04          39337.68          50
