=== C_forced (rccl everywhere) ===

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                     119.83             80.91            133.33          30
16                    117.09             79.72            130.04          30
32                    108.37             70.79            121.62          30
64                    108.36             67.30            122.02          30
128                   162.58             97.39            180.57          30
256                   166.56            100.20            185.48          30
512                   171.10            102.53            190.84          30
1024                  179.38            107.52            200.52          30
2048                  195.03            116.92            217.16          30
4096                  201.28            124.60            221.27          30
8192                  201.71            126.40            222.37          30
16384                 202.91            126.60            222.50          30
32768                 220.32            211.47            230.85          30
65536                 257.04            246.41            265.51          30
131072                324.91            312.65            331.84          30
262144                453.75            442.68            463.40          30
524288                506.91            495.95            515.85          30
1048576               612.11            602.29            620.52          30
2097152               634.24            607.52            664.21          30
4194304               772.83            724.53            862.20          30
8388608              1275.95           1194.53           1418.48          30
16777216             1773.01           1659.26           1946.02          30
33554432             3320.06           3155.66           3609.21          30
67108864             5477.31           5264.53           5723.61          30
134217728            5658.74           5266.52           5932.34          30
268435456           10060.80           9703.77          10356.77          30
