=== AUTO_default (stock tree) ===

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                     399.24            354.61            468.94          30
16                    393.66            351.61            465.89          30
32                    392.85            349.38            461.66          30
64                    393.25            352.70            460.69          30
128                   392.94            351.51            469.97          30
256                   398.53            365.75            477.66          30
512                   399.82            363.48            449.66          30
1024                  401.72            365.95            442.32          30
2048                  733.82            716.11            748.26          30
4096                  743.25            725.57            760.83          30
8192                  745.47            730.41            762.06          30
16384                 752.12            737.23            770.40          30
32768                 757.03            742.39            772.34          30
65536                 763.20            744.11            778.87          30
131072                776.15            762.04            790.59          30
262144                844.57            830.26            858.91          30
524288               1020.37           1007.11           1034.95          30
1048576              1270.08           1258.43           1284.16          30
2097152              1609.71           1597.03           1627.28          30
4194304              2220.27           2205.67           2242.32          30
8388608              3670.01           3647.10           3689.57          30
16777216             9772.75           9682.32           9918.64          30
33554432            34227.44          33920.45          34477.33          30
67108864            73894.26          73483.40          74338.17          30
134217728          144966.31         144141.34         145767.53          30
268435456          281006.18         278601.94         283995.08          30
