=== A_mpich_host : N=128 ranks=1024 ===

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
4                      61.43             55.03             68.36          50
8                      61.02             54.64             67.59          50
16                     61.14             54.82             67.91          50
32                     61.55             54.82             68.00          50
64                     61.25             55.77             67.64          50
128                    63.89             57.10             70.56          50
256                    82.58             76.57             89.79          50
512                    83.48             78.00             89.89          50
1024                   85.36             79.61             91.70          50
2048                   87.92             82.26             94.48          50
4096                  122.35            116.29            129.78          50
8192                  127.06            120.15            135.41          50
16384                 142.90            135.61            151.95          50
32768                 163.64            156.71            172.05          50
65536                 194.36            186.45            202.31          50
131072                242.07            230.67            254.24          50
262144                336.92            311.82            352.40          50
524288                519.58            472.05            553.60          50
1048576               942.69            844.50           1017.06          50
2097152              1875.08           1645.81           2054.09          50
4194304              3672.55           3167.17           4085.62          50
8388608              7117.02           6556.31           7698.45          50
16777216            12568.65          12165.47          13054.29          50
33554432            35988.18          35215.40          37468.79          50
