=== AUTO_hmem (stock tree + FI_HMEM GPU-direct RDMA) ===

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                     153.79            141.49            167.56          30
16                    149.11            137.11            163.68          30
32                    148.92            136.88            162.84          30
64                    286.60            279.56            293.82          30
128                   278.35            272.96            285.28          30
256                   269.27            261.79            277.09          30
512                   283.41            276.85            289.57          30
1024                  272.39            266.09            280.02          30
2048                  271.41            262.61            280.39          30
4096                  300.81            289.41            310.37          30
8192                  306.33            295.31            316.65          30
16384                 312.03            299.51            324.51          30
32768                 312.29            302.70            321.90          30
65536                 321.22            311.15            329.50          30
131072                334.90            321.78            349.63          30
262144                399.00            380.33            418.10          30
524288                480.29            475.55            485.52          30
1048576               637.15            632.23            645.78          30
2097152               898.83            895.29            903.19          30
4194304              1321.91           1314.69           1329.97          30
8388608              2251.35           2246.80           2256.78          30
16777216             6537.19           6529.98           6544.12          30
33554432            24419.42          24288.13          24532.49          30
67108864            50217.31          50051.65          50307.69          30
134217728          101154.05         100844.34         101506.71          30
268435456          191685.70         191089.42         192256.66          30
