=== AUTO_default (stock tree) ===

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                     183.41            170.37            207.40          30
16                    179.62            166.24            202.57          30
32                    180.08            166.63            205.30          30
64                    342.93            333.09            354.21          30
128                   340.98            331.23            352.10          30
256                   342.94            334.17            353.91          30
512                   329.74            323.81            337.62          30
1024                  309.62            301.28            315.33          30
2048                  304.43            295.70            312.08          30
4096                  318.99            304.98            331.06          30
8192                  323.87            309.92            335.26          30
16384                 329.92            319.08            340.75          30
32768                 337.71            320.45            352.89          30
65536                 344.43            330.12            356.05          30
131072                358.08            338.06            372.99          30
262144                404.59            390.23            416.63          30
524288                500.19            491.85            510.53          30
1048576               657.46            651.39            663.44          30
2097152               960.64            949.70            970.59          30
4194304              1459.74           1449.35           1469.31          30
8388608              2545.12           2530.41           2559.46          30
16777216             7351.30           7346.46           7355.61          30
33554432            27149.27          27081.37          27275.40          30
67108864            57698.20          57520.95          57975.70          30
134217728          114898.58         114459.15         115442.72          30
268435456          225666.63         225137.83         226842.57          30
