=== C_forced (rccl everywhere) ===

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                      57.61             49.71             64.20          30
16                     57.09             49.57             63.06          30
32                     47.28             40.10             53.24          30
64                     40.51             32.91             46.87          30
128                    42.68             34.46             49.75          30
256                    43.76             35.02             51.53          30
512                    45.41             36.54             53.31          30
1024                   47.21             37.75             55.66          30
2048                   50.43             40.38             59.67          30
4096                   55.44             48.31             62.40          30
8192                   58.70             51.94             65.02          30
16384                  54.21             47.89             60.11          30
32768                  61.31             58.30             65.25          30
65536                  67.00             63.79             70.79          30
131072                 79.21             76.30             82.19          30
262144                104.53            101.36            107.62          30
524288                145.70            142.11            149.00          30
1048576               164.34            160.17            166.89          30
2097152               194.05            187.80            198.64          30
4194304               256.53            246.15            267.89          30
8388608               357.23            351.52            362.29          30
16777216              533.77            528.93            537.79          30
33554432              879.18            871.37            886.94          30
67108864             1512.17           1496.65           1526.63          30
134217728            2750.01           2730.73           2764.87          30
268435456            5149.83           5114.49           5178.68          30
