=== AUTO_hybrid (ch4: alpha<=32K / beta->MPIR(>32K)->rccl) ===

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                      39.91             38.62             40.98          30
16                     39.74             38.68             40.70          30
32                     39.59             38.48             40.57          30
64                     39.78             38.53             40.88          30
128                    40.71             38.63             42.52          30
256                    42.37             41.28             43.35          30
512                    42.84             41.82             43.82          30
1024                   44.04             42.86             45.05          30
2048                   45.17             44.04             46.21          30
4096                   50.71             49.56             51.91          30
8192                   57.27             56.04             58.57          30
16384                  75.69             74.68             76.74          30
32768                 106.51            102.25            110.59          30
65536                  67.59             66.21             69.55          30
131072                 78.66             77.33             80.71          30
262144                103.08            101.71            104.88          30
524288                145.28            142.38            149.94          30
1048576               162.81            159.43            166.30          30
2097152               191.16            187.84            194.57          30
4194304               247.42            243.16            253.54          30
8388608               355.76            349.32            363.74          30
16777216              531.93            526.35            539.22          30
33554432              879.02            869.40            885.98          30
67108864             1612.53           1596.49           1629.48          30
134217728            2750.73           2733.92           2768.42          30
268435456            5160.51           5129.91           5183.42          30
