=== D_cray_gpuaware : N=2 ranks=16 ===

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
4                       6.29              6.07              6.51          50
8                       6.67              6.35              7.03          50
16                      6.34              6.01              6.67          50
32                      6.27              6.15              6.38          50
64                      6.40              5.92              6.86          50
128                     7.35              7.14              7.63          50
256                    17.20             16.52             18.01          50
512                    15.38             14.56             16.17          50
1024                   17.16             15.74             19.21          50
2048                   19.33             18.44             20.16          50
4096                   31.56             30.57             32.53          50
8192                   55.00             54.33             55.91          50
16384                  58.86             58.17             59.76          50
32768                  69.68             68.89             70.63          50
65536                  90.32             89.07             91.17          50
131072                144.74            144.01            145.59          50
262144                155.14            154.14            156.13          50
524288                178.78            177.95            179.55          50
1048576               205.65            204.79            206.80          50
2097152               262.20            261.21            263.15          50
4194304               373.49            372.62            374.30          50
8388608               600.76            599.96            601.35          50
16777216             1203.60           1202.23           1204.62          50
33554432             2406.56           2404.72           2408.11          50
67108864             4816.65           4814.98           4817.98          50
134217728            9713.06           9711.59           9714.28          50
268435456           19428.30          19427.03          19429.00          50
536870912           38797.12          38795.70          38798.35          50
1073741824          77711.26          77710.45          77711.91          50
