=== A_mpich_host : N=32 ranks=256 ===

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
4                      47.37             43.02             53.08          50
8                      47.32             42.57             53.61          50
16                     47.46             43.25             53.30          50
32                     48.06             41.49             53.95          50
64                     48.12             43.08             55.44          50
128                    49.61             43.75             57.52          50
256                    63.19             58.97             68.46          50
512                    63.30             59.45             69.00          50
1024                   91.88             87.79             95.72          50
2048                   92.42             88.61             96.54          50
4096                   98.88             93.24            103.35          50
8192                  106.45            100.82            110.32          50
16384                 121.03            114.51            125.85          50
32768                 139.87            133.42            144.46          50
65536                 171.75            165.06            177.81          50
131072                212.71            203.01            220.74          50
262144                297.74            282.54            313.72          50
524288                485.41            448.50            520.09          50
1048576               910.65            822.54            988.29          50
2097152              1616.48           1439.33           1782.16          50
4194304              3278.81           2907.93           3676.92          50
8388608              6582.58           5995.95           7231.95          50
16777216            10777.27          10462.49          11126.25          50
33554432            34289.92          33550.31          35526.85          50
