=== D_kernel0 sweep : N=256 ranks=2048 ===

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
4                      42.95             39.48             76.55          20
8                      42.47             39.68             45.05          20
16                     42.14             39.79             44.45          20
32                     42.01             39.67             44.52          20
64                     42.44             38.63             46.07          20
128                    45.91             41.70             49.23          20
256                    75.51             71.25             79.26          20
512                    74.76             70.31             78.30          20
1024                   76.58             72.06             82.57          20
2048                   82.97             76.64             88.19          20
4096                   83.26             78.71             88.97          20
8192                  151.59            146.41            158.83          20
16384                 152.25            146.05            159.67          20
32768                 169.76            164.37            176.52          20
65536                 211.31            205.40            221.11          20
131072                243.61            235.93            253.36          20
262144                334.00            320.19            346.04          20
524288                632.01            594.10            652.67          20
1048576               968.57            921.34            999.92          20
2097152              1920.74           1868.70           1948.53          20
4194304              3735.64           3688.47           3764.38          20
8388608             11118.75          11063.05          11226.70          20
16777216            45627.79          45561.14          45801.83          20
33554432            30446.14          30396.00          30478.17          20
67108864            58728.18          58675.66          58759.13          20
134217728          117189.64         117137.75         117221.44          20
268435456          234405.32         234355.06         234439.22          20
536870912          470193.43         470142.57         470227.47          20
1073741824         936725.62         936677.76         936758.41          20
2147483648        1830055.86        1830007.77        1830088.60          20
4294967296        3672364.45        3672316.01        3672399.61          20
