=== AUTO_default (stock tree) ===

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
1024                  329.04            321.01            337.22          30
2048                  321.09            315.80            326.06          30
4096                  326.68            318.83            341.14          30
8192                  331.43            322.74            343.95          30
16384                 342.26            334.80            355.32          30
32768                 345.50            336.59            359.33          30
65536                 349.56            341.54            362.25          30
131072                356.77            348.81            369.31          30
262144                389.28            378.15            399.23          30
524288                473.49            465.56            483.26          30
1048576               654.04            646.30            660.70          30
2097152              1024.50           1016.00           1035.20          30
4194304              1579.29           1565.20           1595.60          30
8388608              2562.52           2558.06           2566.87          30
16777216             7432.92           7414.37           7450.90          30
33554432            27382.18          27229.46          27596.70          30
67108864            58268.25          58069.59          58503.70          30
134217728          116493.16         116200.84         116820.59          30
268435456          227641.76         226587.25         228896.32          30
